"meta_source","dataset_identifier","data_owner","contact_email","file_name","individual_id","device_id","device_type","year","month","day","time","time_zone","deployment_site","deployment_decimal_latitude","deployment_decimal_longitude","sex","how_sexed","age_class","genotyped","age.","progesterone","If.yes..status","comments"
"track","Constantine_Raoul_2015",NA,NA,NA,"131178","131178","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"131179","131179","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"131182","131182","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"131185","131185","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"131187","131187","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"131188","131188","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Constantine_Raoul_2015",NA,NA,NA,"131190","131190","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","CWR_WAVES_2014",NA,NA,NA,"Mn_WAVES14_Sat1","121221","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","CWR_WAVES_2014",NA,NA,NA,"Mn_WAVES14_Sat2","121222","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","CWR_WAVES_2014",NA,NA,NA,"Mn_WAVES14_Sat3","121223","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","CWR_WAVES_2014",NA,NA,NA,"Mn_WAVES14_Sat5","121224","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","CWR_WAVES_2014",NA,NA,NA,"Mn_WAVES14_Sat4","121225","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","CWR_WAVES_2014",NA,NA,NA,"Mn_WAVES14_Lander01","95805","GPS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","DallaRosa_AP",NA,NA,NA,"20683","20683","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","DallaRosa_AP",NA,NA,NA,"20689","20689","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","DallaRosa_AP",NA,NA,NA,"21809","21809","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","DallaRosa_AP",NA,NA,NA,"24639","24639","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","DallaRosa_AP",NA,NA,NA,"24640","24640","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","DallaRosa_AP",NA,NA,NA,"26715","26715","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","DallaRosa_AP",NA,NA,NA,"63375","63375","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","DallaRosa_AP",NA,NA,NA,"63376","63376","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","DallaRosa_AP",NA,NA,NA,"63377","63377","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","DallaRosa_AP",NA,NA,NA,"63378","63378","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2012",NA,NA,NA,"112692","112692","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2012",NA,NA,NA,"112699","112699","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2012",NA,NA,NA,"112701","112701","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2012",NA,NA,NA,"112703","112703","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2012",NA,NA,NA,"112704","112704","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2012",NA,NA,NA,"112705","112705","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2013",NA,NA,NA,"112737","112737","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2013",NA,NA,NA,"112738","112738","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2013",NA,NA,NA,"112746","112746","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2013",NA,NA,NA,"121207","121207","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2013",NA,NA,NA,"121208","121208","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2013",NA,NA,NA,"121210","121210","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2013",NA,NA,NA,"121211","121211","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2013",NA,NA,NA,"121212","121212","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2013",NA,NA,NA,"123224","123224","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2013",NA,NA,NA,"123231","123231","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2013",NA,NA,NA,"123232","123232","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2013",NA,NA,NA,"123236","123236","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2015",NA,NA,NA,"131141","131141","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2015",NA,NA,NA,"131143","131143","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2015",NA,NA,NA,"131144","131144","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2015",NA,NA,NA,"131146","131146","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2015",NA,NA,NA,"131147","131147","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2015",NA,NA,NA,"131151","131151","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2015",NA,NA,NA,"131153","131153","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2016",NA,NA,NA,"131111","131111","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2016",NA,NA,NA,"131115","131115","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2016",NA,NA,NA,"131116","131116","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2016",NA,NA,NA,"131127","131127","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2016",NA,NA,NA,"131128","131128","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2016",NA,NA,NA,"131130","131130","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2016",NA,NA,NA,"131132","131132","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2016",NA,NA,NA,"131133","131133","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2016",NA,NA,NA,"131134","131134","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2016",NA,NA,NA,"131136","131136","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2016",NA,NA,NA,"131142","131142","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2016",NA,NA,NA,"131156","131156","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2016",NA,NA,NA,"131158","131158","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2016",NA,NA,NA,"131159","131159","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2016",NA,NA,NA,"131162","131162","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2016",NA,NA,NA,"154187","154187","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2017",NA,NA,NA,"166122","166122","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2017",NA,NA,NA,"166123","166123","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2017",NA,NA,NA,"166124","166124","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2017",NA,NA,NA,"166125","166125","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"track","Friedlaender_2017",NA,NA,NA,"166126","166126","PTT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
